Obboy,Frequency
ও,2403
এবং,1360
না,1224
আর,839
যে,731
কিন্তু,573
বা,492
আবার,290
দিয়ে,286
তো,217
যেন,193
তাই,188
খুব,183
যদিও,181
অতি,109
যদি,103
হয়ত,100
অথবা,95
এত,78
বরং,70
অন্তত,60
কিংবা,52
হঠাৎ,45
অথচ,43
আপাতত,17
অর্থাৎ,14
নিশ্চয়ই,12
হয়তো,9
সদা,5
হাঁ,2
সুতরাং,2
নতুবা,2
খাসা,2
ওগো,2
হায়রে,1
যদ্যপি,1
পুনশ্চ,1
নয়তো,1
অতএব,1
হইত,0
সাবাশ,0
সহসা,0
শন শন,0
রুম ঝুম,0
যথা,0
মারহাবা,0
মাইরি,0
মরিমরি,0
মর মর,0
বেশবেশ,0
বেশ তো,0
বহুত,0
বস্ত্তত,0
পাছে,0
না হয়,0
নইলে,0
ধিকধিক,0
ধর্মত,0
দৈবাৎ,0
দুর্ভাগ্যবশত,0
তথাপি,0
টল মল,0
টন টন,0
ঝল মল,0
ঝম ঝম,0
জ্ঞানত,0
ছিছি,0
ছম ছম,0
চিঁহি চিঁহি,0
চক চক,0
গুড় গুড়,0
গর গর,0
খাঁ খাঁ,0
খট খট,0
কড় কড়,0
কুহু কুহু,0
কি আপদ,0
কা কা,0
কল কল,0
কদাপি,0
কত না,0
কট কট,0
কচ কচ,0
উঃ,0
আলবত,0
অন্যএ,0
অন্ততও,0
অধিকন্তু,0
অথচও,0
